Condition_x,Coordinates,Condition_y
,"49.20957499230556, -123.12409187505821",Good
,"49.20957712728166, -123.06319394397354",Fair
,"49.20957812972833, -123.12876281837205",Good
GOOD,"49.209580382432655, -123.12882951949568",
,"49.20958153753175, -123.12599895996334",Good
GOOD,"49.20958205069121, -123.1260657659053",
,"49.209590105529436, -123.14042097842315",Good
,"49.209595763593626, -123.0912136689759",Very Good
,"49.20959904134979, -123.13014150074082",Good
FAIR,"49.20960100395913, -123.09114394226862",
,"49.20960110395693, -123.13027876142905",Very Good
,"49.209601921424536, -123.09107617106409",Poor
,"49.20960459508654, -123.05905405840838",Good
,"49.20961988541926, -123.13152144867075",Poor
POOR,"49.20962102089109, -123.13158815256985",
,"49.20962194652879, -123.13165871388846",Fair
,"49.20964294815026, -123.13303845843757",Fair
POOR,"49.209645535726104, -123.13296777992231",
VERY POOR,"49.20965578980695, -123.06779418761144",
,"49.20966119169224, -123.13427967094528",Very Good
,"49.20966322994604, -123.13441693605633",Fair
GOOD,"49.209664912817416, -123.1343462632111",
,"49.20968752814348, -123.08948393927373",Very Good
GOOD,"49.209691728463305, -123.08941461748029",
,"49.20969481915348, -123.05899714584666",Very Good
,"49.209711325885614, -123.13773272081342",Fair
,"49.209713394850795, -123.13786997889335",Very Good
,"49.209732688508836, -123.13909879500716",Very Poor
POOR,"49.2097346979573, -123.1391654153363",
,"49.20973484391654, -123.1392360567059",Good
,"49.20976941832545, -123.1202337942238",Very Poor
,"49.20977169502378, -123.12037103978776",Very Good
,"49.20984536322932, -123.1176983504418",Good
VERY GOOD,"49.20985033828954, -123.06009921574616",
VERY GOOD,"49.20992833003592, -123.12510274818965",
,"49.2099382885394, -123.06699854707242",Very Good
GOOD,"49.20993954510331, -123.08406347801831",
,"49.20994512860541, -123.08399225557169",Fair
,"49.20994966649279, -123.11770431638956",Good
,"49.2099729512216, -123.12510067221658",Fair
FAIR,"49.21000081701597, -123.12414416690254",
,"49.210011857273905, -123.06691674490321",Very Good
,"49.21003100734554, -123.14854182283607",Very Good
VERY GOOD,"49.21006849743605, -123.11083085457254",
VERY GOOD,"49.21007346187096, -123.14862423339709",
POOR,"49.210080656412934, -123.05558339705688",
VERY POOR,"49.2100851311321, -123.14635432147293",
VERY GOOD,"49.21011004995105, -123.0799373922708",
,"49.21013191999285, -123.06617147698144",Fair
,"49.21014461912934, -123.06603391566694",Very Good
