Condition_x,Coordinates,Condition_y
,"49.280889647374764, -123.12543745430284",Good
FAIR,"49.28089910038948, -123.10658837965681",
VERY POOR,"49.28090731915764, -123.10227670281598",
,"49.28090807500835, -123.10220834615853",Fair
,"49.28091047079719, -123.10234579847206",Very Good
,"49.28091667077016, -123.1362271958264",Very Good
,"49.28093667065572, -123.10653917653974",Very Good
,"49.28094259047595, -123.1156249980619",Very Good
,"49.2809604181418, -123.08016365957636",Very Good
,"49.28096361029843, -123.08185344636925",Fair
,"49.28096365365982, -123.11069439615987",Very Good
POOR,"49.28097706884501, -123.13884379809637",
FAIR,"49.28098796071889, -123.10436575311807",
VERY GOOD,"49.280989000766034, -123.11075240071331",
,"49.280994590038006, -123.08360593436383",Very Good
,"49.28099853388992, -123.10443452125135",Good
,"49.28100022586828, -123.10429691225752",Very Good
GOOD,"49.28100125857864, -123.13865484023738",
,"49.281011743839734, -123.13754529080757",Very Good
,"49.281011790066145, -123.11938114770409",Very Good
,"49.28101979553664, -123.11080281264215",Good
,"49.28102264337589, -123.12413036560412",Very Poor
,"49.281035538953866, -123.08597401874049",Very Good
VERY POOR,"49.28104260062792, -123.11933039330262",
,"49.281046249628936, -123.08021444623094",Good
,"49.28105161272802, -123.13232713116658",Very Good
VERY GOOD,"49.281053692243475, -123.12417955277168",
,"49.28107411268156, -123.02463802969073",Very Good
,"49.281075023859685, -123.13764301436228",Very Good
,"49.28107575317242, -123.11928447792218",Very Good
,"49.28107614384754, -123.02700958788915",Very Good
,"49.281078576496505, -123.02963575930845",Very Good
,"49.281080294721264, -123.08834678179883",Very Good
,"49.2810843638556, -123.04539077793373",Very Good
VERY GOOD,"49.28108448210377, -123.13227947678335",
,"49.28108452574793, -123.08360329525495",Very Good
,"49.28108584937688, -123.03751364947031",Good
,"49.281085886854015, -123.12422813877185",Fair
,"49.28108923038163, -123.04145165153416",Very Good
,"49.28109205436798, -123.0480178013342",Very Good
,"49.2810948912708, -123.05064356950908",Very Good
,"49.2810982667718, -123.05326913922681",Very Good
,"49.281100610462914, -123.05556675549376",Very Good
,"49.281105028082166, -123.05719164672975",Very Good
,"49.28110629615089, -123.12811169682598",Very Poor
,"49.28111373584667, -123.0587996246285",Very Good
,"49.28111556669313, -123.13223045088353",Very Good
,"49.281116629436596, -123.1080423335847",Very Good
,"49.28112162962411, -123.09050837804062",Very Good
,"49.281123803341416, -123.06073505564223",Very Good
,"49.281125457554495, -123.08597024957419",Very Good
,"49.28113633048957, -123.06266974124134",Very Good
,"49.28113764332775, -123.06460602162403",Very Good
VERY GOOD,"49.28113923348914, -123.12806417013846",
,"49.28115028829914, -123.06691926740672",Good
,"49.28115778851355, -123.0924590717295",Very Good
VERY POOR,"49.28116176924021, -123.11433185447028",
,"49.28116406459873, -123.0246372839066",Very Good
,"49.28116609563321, -123.0270094995195",Very Good
,"49.28116852829676, -123.02963562071731",Very Good
,"49.2811702091411, -123.0883427075714",Fair
,"49.281170260070425, -123.12801502476276",Very Good
,"49.28117302428804, -123.03488724219399",Very Poor
,"49.281174324647964, -123.04539070237999",Very Good
,"49.28117580045183, -123.03751343583835",Fair
,"49.28117915813306, -123.04141712627332",Good
,"49.28117920334705, -123.06932695419246",Good
,"49.28118200616719, -123.04801772367551",Very Good
,"49.281184843092646, -123.05064344850294",Very Good
,"49.28118821862844, -123.05326894737385",Very Good
,"49.281190562466605, -123.05556627220552",Very Good
,"49.281193973025395, -123.09440968583944",Very Good
,"49.28119497594738, -123.05719045141765",Very Good
,"49.28120368381773, -123.05879824662244",Very Good
,"49.28120369612961, -123.07151239753811",Very Good
,"49.28121154416887, -123.09050423211836",Very Good
,"49.281213751359964, -123.06073363990741",Very Good
VERY POOR,"49.281217166646385, -123.1373309240073",
,"49.28122627418675, -123.06266804027968",Very Good
,"49.28122749996256, -123.07337092641549",Very Good
,"49.28122760483196, -123.06460469544388",Very Good
,"49.281230811681226, -123.0964256074667",Good
,"49.281234756783505, -123.12294734913547",Very Good
,"49.28124024085593, -123.06691791792262",Very Good
,"49.28124619696144, -123.0781347843298",Very Good
,"49.281247689722335, -123.09245482620386",Very Good
,"49.28125614875121, -123.11793432043441",Very Good
,"49.28125693522884, -123.07560223648022",Very Good
FAIR,"49.281265650889694, -123.1228967015575",
,"49.28126915159996, -123.06932532034116",Good
,"49.281270095089305, -123.0985594871789",Very Good
,"49.28128387904245, -123.09440514137651",Very Good
,"49.28129364454241, -123.07151056141772",Very Good
GOOD,"49.28129407187653, -123.10876826582444",
,"49.28129855472854, -123.12285042911861",Fair
,"49.281315109023126, -123.10095431782447",Good
,"49.281317534257624, -123.07337548046647",Very Good
,"49.28132087670708, -123.09642994231157",Good
,"49.281330167825004, -123.07818508280164",Very Good
,"49.28133738550752, -123.10926918735717",Good
,"49.28134695232379, -123.07560561210187",Very Good
,"49.281360172194255, -123.0985640114775",Very Good
,"49.281367751531626, -123.10330334107421",Good
,"49.281390881330076, -123.12957729007391",Very Good
,"49.28139984838901, -123.1338427520601",Very Good
,"49.28140502405869, -123.10095038490132",Good
FAIR,"49.281410287600515, -123.11299027980587",
,"49.28141154340277, -123.10916248289327",Good
POOR,"49.28143890468967, -123.12960079025824",
,"49.28144287317866, -123.12156046899804",Good
,"49.281443873345395, -123.11294505633664",Fair
,"49.28146317396986, -123.13394040127228",Very Good
,"49.28146430042022, -123.1032992667561",Good
VERY GOOD,"49.28146902700958, -123.13383425737005",
,"49.28147013811615, -123.12965085965295",Very Good
,"49.28147154434874, -123.08120516946165",Very Good
,"49.281471696821654, -123.08134267584185",Very Good
,"49.28149094222339, -123.08233344962345",Very Good
,"49.281493518095814, -123.08247089225506",Very Good
,"49.281506204413574, -123.12165811618145",Poor
,"49.2815068571079, -123.11669257373785",Very Good
,"49.28151274248587, -123.1394887507381",Very Good
,"49.2815247648953, -123.12538993290764",Very Good
POOR,"49.28153097981401, -123.10738373649221",
GOOD,"49.281533166705714, -123.08476811818262",
,"49.281533533875184, -123.08469978803764",Very Good
,"49.281535988857904, -123.08483723358023",Good
POOR,"49.28155678703979, -123.03162896000325",
,"49.281559105796404, -123.13525536222606",Fair
POOR,"49.28156721016692, -123.0313821087945",
,"49.281570816152936, -123.11659588995825",Good
,"49.28157202547748, -123.12551187284502",Fair
,"49.28157591754486, -123.08707025353125",Fair
GOOD,"49.28157731828093, -123.08713856876932",
,"49.28157844115801, -123.08720769400222",Very Good
,"49.28158094978914, -123.11168271778668",Very Poor
,"49.28158407913223, -123.02363923230673",Good
GOOD,"49.281584704492, -123.02569658559831",
FAIR,"49.281585343312855, -123.02357006599301",
,"49.28158600553876, -123.02562820630953",Good
,"49.281586119330385, -123.0257657025443",Good
VERY GOOD,"49.28158750938183, -123.02832153382437",
FAIR,"49.28158758882537, -123.13520130216519",
,"49.28158779509017, -123.02825315128412",Very Good
,"49.281587932748735, -123.02839064745037",Very Good
VERY POOR,"49.281590414388745, -123.03083160387388",
,"49.281591193526864, -123.03087941240081",Very Good
GOOD,"49.28159357972494, -123.04407592102099",
,"49.28159424997971, -123.04414493207187",Good
,"49.281600849979895, -123.04663495967796",Good
,"49.28160110952819, -123.0467724559181",Good
FAIR,"49.28160360301756, -123.04670338567746",
VERY GOOD,"49.28160365075631, -123.04933024198758",
,"49.28160401473293, -123.04926180690164",Very Good
,"49.28160417671214, -123.04939930316914",Good
,"49.28160712506628, -123.05188719919671",Very Good
,"49.28160731075879, -123.05202469549359",Very Good
GOOD,"49.28160778169237, -123.05195562902881",
VERY GOOD,"49.28160859960858, -123.05458140942402",
VERY POOR,"49.28161011861665, -123.1117351527997",
,"49.281611047031305, -123.05451295833856",Fair
,"49.28161121248696, -123.05465045466894",Very Good
,"49.28161278973005, -123.05647994644146",Very Good
,"49.281613240113586, -123.05661744262322",Very Good
,"49.281618882316515, -123.04400740714316",Very Poor
,"49.28161961496591, -123.0577557591768",Very Good
,"49.281620506093915, -123.05789325068491",Very Good
GOOD,"49.281621615607705, -123.0578240022691",
,"49.28162180279488, -123.08944168173997",Very Good
POOR,"49.281622427167456, -123.08951011445272",
,"49.28162247328013, -123.13515846312862",Good
,"49.28162441507819, -123.08957912234905",Very Good
,"49.28163402511997, -123.05969338328582",Very Good
VERY POOR,"49.28163462930623, -123.0597616284609",
,"49.28163471015971, -123.05983087822477",Very Good
,"49.28163981097785, -123.0617644892597",Good
VERY GOOD,"49.281640049056776, -123.06169566322104",
VERY GOOD,"49.281642180550286, -123.06363093356048",
,"49.28164846595933, -123.12036510231432",Very Good
,"49.281650304917925, -123.06356054100395",Very Good
VERY POOR,"49.281650589706096, -123.06556837334549",
,"49.28165072824435, -123.06369803756422",Good
,"49.281652134399216, -123.06563780719785",Very Poor
,"49.28165798277575, -123.09139290783583",Very Poor
FAIR,"49.28165988201537, -123.09146126778059",
GOOD,"49.28168142191712, -123.1203176071425",
,"49.28168286458601, -123.07907136225363",Very Good
,"49.28168588013473, -123.06818867380287",Very Poor
GOOD,"49.28168651556848, -123.06825692269564",
,"49.28168725405921, -123.10578150158747",Good
,"49.28168755621883, -123.06832615274989",Very Good
POOR,"49.28169065212826, -123.08126923827245",
,"49.28169670501837, -123.0934807915121",Very Good
VERY POOR,"49.281697016333425, -123.09341166924922",
,"49.28169762090062, -123.07920840728944",Very Good
POOR,"49.28170386866031, -123.07913909547462",
,"49.2817100266451, -123.07031096090874",Very Good
POOR,"49.28171075106309, -123.07037936595844",
,"49.281711673817306, -123.07044843158674",Very Good
,"49.28171233591418, -123.12026828145473",Very Good
FAIR,"49.281712994630006, -123.08239163110167",
POOR,"49.281714376655856, -123.125199421012",
,"49.28171633872621, -123.136479068217",Very Good
,"49.281730384268, -123.09529306362639",Good
GOOD,"49.28173099983338, -123.09536147856952",
,"49.281732114121624, -123.10722850816083",Very Good
,"49.2817329019054, -123.09543050955641",Very Good
,"49.281738331751455, -123.07255052217263",Very Good
FAIR,"49.281738855400114, -123.0726189393407",
,"49.28174004939967, -123.07268799402476",Very Good
,"49.281754778102396, -123.13126357845675",Fair
,"49.28175671963583, -123.07403724412487",Very Good
FAIR,"49.281757029570585, -123.07410557807746",
,"49.281758093057164, -123.11525559053939",Very Good
,"49.281758460677906, -123.0741747183595",Very Good
,"49.281769734156484, -123.09747175943123",Good
,"49.281772286933595, -123.09761018402381",Very Good
GOOD,"49.28177336702904, -123.09754092374457",
,"49.28177702172069, -123.10576174266038",Poor
VERY GOOD,"49.281781354603126, -123.13120724406814",
,"49.28178242863257, -123.1365845967808",Very Good
,"49.28178864734029, -123.11051342391168",Very Good
FAIR,"49.28179159669307, -123.11530115192448",
,"49.28179552757536, -123.07701473244053",Very Good
POOR,"49.281796269669414, -123.07708316230772",
,"49.281797287172246, -123.07715220815885",Very Good
,"49.28180667680759, -123.13779767985957",Good
,"49.28180763780219, -123.1270516532516",Good
FAIR,"49.28180893097394, -123.09962769245132",
,"49.281808958906396, -123.09955928238662",Good
,"49.28181154796091, -123.09969671565159",Very Good
,"49.28181871771012, -123.13116686789033",Very Good
GOOD,"49.281820265979086, -123.11046387405835",
,"49.28182133053078, -123.1153533744206",Good
VERY GOOD,"49.28183350596481, -123.13774252765158",
POOR,"49.281836679271315, -123.1269981236806",
,"49.28185725235608, -123.1021668953591",Good
,"49.281859808297675, -123.10230433664636",Very Good
VERY POOR,"49.2818603985495, -123.10223514837091",
,"49.28186351820774, -123.11043403529112",Fair
,"49.28187063535259, -123.13770099143734",Very Good
,"49.281871600829305, -123.12695497844643",Good
,"49.28187862087348, -123.12394233857458",Very Good
,"49.281897797310165, -123.11892607683842",Very Good
,"49.28190051502026, -123.1389159185545",Very Good
,"49.28190909214079, -123.081823503769",Very Good
GOOD,"49.28191087639159, -123.12389378901179",
VERY GOOD,"49.281923178965904, -123.1400240500497",
GOOD,"49.281925162460276, -123.13897258925267",
NO DATA,"49.28193015212222, -123.11897332684788",
,"49.281930272766246, -123.14013344024009",Very Good
,"49.28194251257247, -123.0835661502923",Very Good
FAIR,"49.2819542079714, -123.08182457255852",
,"49.281958075287086, -123.10425791805449",Fair
,"49.28196117132224, -123.11902364601946",Very Good
,"49.281963838009474, -123.13901356949755",Very Good
FAIR,"49.28197708236876, -123.10432543572603",
,"49.28198338074881, -123.10969970689837",Very Good
,"49.28198651162088, -123.08593565798692",Very Good
FAIR,"49.28198755157208, -123.08356316645461",
,"49.28198933254018, -123.10439419065737",Very Good
,"49.28199423349525, -123.14003676075284",Very Good
,"49.281999027901534, -123.08182070325068",Very Good
,"49.28200601899203, -123.02463016160867",Fair
,"49.28200781919733, -123.02700954673432",Fair
,"49.28200862025853, -123.11401243793546",Very Good
,"49.28201059845087, -123.02963458535194",Fair
VERY GOOD,"49.28201248667669, -123.10975820482436",
,"49.282020818496626, -123.04538928602554",Very Good
,"49.282023118523725, -123.04801666350667",Very Poor
,"49.28202645887464, -123.05064316224448",Very Good
,"49.28203003187433, -123.0883064454457",Very Good
,"49.28203014010549, -123.05326898798839",Very Good
,"49.28203309864701, -123.08359656657004",Good
,"49.28203344687934, -123.05556540429498",Fair
POOR,"49.28204002832834, -123.11396264772634",
,"49.282046292739274, -123.10981569946547",Very Good
GOOD,"49.28205037692382, -123.0854778392484",
POOR,"49.28205119158137, -123.02463214825931",
POOR,"49.28205299148497, -123.02701085082313",
GOOD,"49.28205569156661, -123.02957517428727",
,"49.28206018866014, -123.06072463509084",Very Good
,"49.282063855875634, -123.0626591467701",Very Good
FAIR,"49.282065956622624, -123.04539303369626",
GOOD,"49.2820682500557, -123.04801923384768",
,"49.282070881613734, -123.09046824728381",Very Good
GOOD,"49.28207158219901, -123.05064543385524",
,"49.28207256499208, -123.11391573797634",Very Good
,"49.28207324902798, -123.08575261066642",Good
,"49.28207428401106, -123.06459005135157",Very Poor
VERY POOR,"49.28207508477296, -123.08830458049168",
FAIR,"49.28207525629378, -123.05327163116725",
,"49.28207586084831, -123.1225385050069",Very Good
VERY GOOD,"49.28207855502968, -123.0555678343946",
VERY GOOD,"49.282082960862326, -123.05718340721732",
GOOD,"49.28209590828859, -123.05878511772829",
,"49.28209597091454, -123.02462931954852",Very Good
,"49.28209770983826, -123.0669035340369",Fair
,"49.282097770974715, -123.02700943086407",Fair
,"49.28209866621201, -123.1247157606326",Good
,"49.28210055024188, -123.02963442613218",Very Good
,"49.28210334664689, -123.13277943686793",Very Good
VERY POOR,"49.28210527825803, -123.06072372178384",
,"49.28210700959344, -123.09241909520264",Very Good
VERY GOOD,"49.28210908196115, -123.12258441434624",
,"49.28210949107203, -123.12849122942322",Very Good
GOOD,"49.28210954820917, -123.06262294208625",
,"49.28211077029555, -123.04538917914248",Poor
,"49.28211307031728, -123.04801656522105",Very Poor
VERY POOR,"49.28211598204991, -123.09046926206977",
,"49.28211641065663, -123.05064309623562",Very Good
FAIR,"49.28211898167798, -123.06461917459059",
,"49.28211995063392, -123.0883025498242",Very Good
,"49.28212339875581, -123.05556515474242",Fair
,"49.282128420392254, -123.06931025893635",Fair
VERY GOOD,"49.282129876337294, -123.13283377312021",
,"49.282139132698255, -123.1226362301689",Good
,"49.28214157805054, -123.11767358190669",Good
POOR,"49.282142520857114, -123.12853740191466",
VERY POOR,"49.282142803597765, -123.06690475144086",
,"49.28214321351291, -123.09436879115023",Good
,"49.2821501411827, -123.06072316431838",Fair
VERY POOR,"49.28215212430343, -123.09242094503004",
,"49.28215287851687, -123.08132930702033",Very Good
,"49.28215380831861, -123.06265788576266",Good
,"49.282156363151735, -123.07148842052621",Very Good
,"49.282160800384446, -123.09046443121358",Very Good
,"49.28216630698446, -123.10840605989345",Fair
,"49.282166603798345, -123.1328771947864",Very Good
,"49.282172779141106, -123.12858894385323",Good
POOR,"49.28217349537546, -123.06931050020421",
,"49.28217921247358, -123.07334906684964",Very Good
,"49.282181800756845, -123.09647205229072",Fair
,"49.282187649428835, -123.06690123574809",Very Good
VERY POOR,"49.282188239042114, -123.09436575109861",
,"49.28219692400638, -123.09241518641994",Very Good
GOOD,"49.28220145144048, -123.07148942618106",
,"49.2822055287469, -123.11757688742088",Very Good
,"49.28220702707367, -123.07558342857497",Fair
,"49.28221836438123, -123.06930821252529",Poor
,"49.28222121126935, -123.09860516037598",Good
POOR,"49.28222432343053, -123.07335219109696",
VERY POOR,"49.282226818503034, -123.09646864357393",
,"49.282233127992896, -123.094364879035",Poor
,"49.282237751017, -123.0780985193914",Very Good
FAIR,"49.28224245073205, -123.11269761684801",
,"49.28224630290273, -123.07148602057445",Fair
POOR,"49.28225214298701, -123.07558612374827",
,"49.28225397586764, -123.1083691484022",Very Good
VERY GOOD,"49.282258104665964, -123.08624194817683",
,"49.28225972357694, -123.08019000921188",Very Good
,"49.28226028903076, -123.13419448166565",Good
,"49.282264164401724, -123.1009134442212",Fair
VERY POOR,"49.28226629400106, -123.09860588952121",
,"49.282269148001596, -123.07334629215488",Very Good
,"49.28227186570061, -123.09647646293007",Very Poor
FAIR,"49.28228278853822, -123.07809502590476",
VERY GOOD,"49.28229284575657, -123.13414633924033",
,"49.28229696692438, -123.07558099481932",Very Good
POOR,"49.28230475286385, -123.08018472527407",
VERY POOR,"49.282309250872714, -123.10091492336251",
,"49.282311283540785, -123.09860950058777",Fair
NO DATA,"49.28231726499564, -123.12129997305273",
,"49.28231848882956, -123.08243338864764",Very Good
,"49.28231983997235, -123.0822957718674",Very Good
,"49.2823223217846, -123.1032655342464",Poor
,"49.28232430739849, -123.13409789786206",Very Good
,"49.28232806763841, -123.0781305341236",Very Good
,"49.28234932264506, -123.08015338059435",Very Good
,"49.28235408379276, -123.10090960677829",Fair
VERY POOR,"49.282369927780614, -123.1032648606215",
,"49.282386019592266, -123.11622618170503",Very Good
,"49.28241290493002, -123.10326176126448",Good
,"49.28241430938692, -123.11148475693048",Fair
FAIR,"49.282445122102786, -123.11143401915437",
,"49.28244899464252, -123.10692730776661",Fair
,"49.282449257217586, -123.11632396326905",Very Good
POOR,"49.282451606906555, -123.13545853282493",
NO DATA,"49.28245197359732, -123.11046452580169",
,"49.28245844624348, -123.13020009309088",Very Good
VERY POOR,"49.28245959322767, -123.10699355959454",
,"49.282472462952995, -123.08523961717066",Very Good
,"49.2824731405817, -123.1070597651109",Very Good
,"49.282474311918605, -123.08563912321785",Very Good
,"49.28247831807147, -123.11138784779594",Very Good
GOOD,"49.282490149688755, -123.13015065585438",
VERY GOOD,"49.28250220840689, -123.02569565215093",
,"49.28250226542745, -123.02362291143993",Good
POOR,"49.282502787929275, -123.02355375587555",
,"49.28250336604572, -123.0870305291205",Very Good
,"49.28250373882095, -123.02562727528996",Very Good
,"49.282503834177646, -123.0257647742069",Good
GOOD,"49.28250501289335, -123.02831994344244",
,"49.282505510466784, -123.02825155851987",Very Good
,"49.282505652164375, -123.02838905733302",Very Good
,"49.28250619476892, -123.08716796274346",Very Good
POOR,"49.28250697982998, -123.03138136328117",
GOOD,"49.28250770370308, -123.03085539569743",
VERY POOR,"49.282508863970385, -123.03170247853173",
,"49.28250902151609, -123.03087774487899",Very Good
,"49.282513497191644, -123.12598474370736",Good
FAIR,"49.282515584772376, -123.04407464771987",
,"49.282517010054384, -123.04400621542028",Very Poor
,"49.282517097037044, -123.04414371423681",Very Good
,"49.28251841804682, -123.04663346020146",Fair
,"49.28251985736592, -123.13673943428178",Very Good
FAIR,"49.28252111062812, -123.0467018560905",
,"49.28252220270456, -123.04926078896784",Very Good
,"49.28252238688988, -123.04939828780697",Very Good
,"49.282522411887314, -123.13010342796744",Very Good
VERY GOOD,"49.282525290600894, -123.05195528012037",
,"49.28252535734682, -123.05188683710907",Good
,"49.28252553389231, -123.05202433594431",Very Good
VERY POOR,"49.282525658252204, -123.04932921080785",
,"49.28252891108399, -123.05451330135892",Good
,"49.28252910251344, -123.05465080026268",Good
GOOD,"49.28253060630304, -123.05458175777918",
NO DATA,"49.282531226083606, -123.08235512974926",
,"49.28253170893621, -123.05647515437327",Very Good
,"49.28253246422411, -123.05661265259832",Very Good
,"49.28253467733529, -123.11990195248782",Very Good
VERY GOOD,"49.28254308201463, -123.13667693390705",
VERY POOR,"49.28254857221921, -123.08947030153868",
,"49.28254861454138, -123.08940186404752",Very Good
FAIR,"49.282548963412474, -123.12594113748601",
,"49.28255117984523, -123.08953930929881",Very Good
VERY POOR,"49.2825520164772, -123.05974231514588",
,"49.28255217760142, -123.05967379486361",Very Poor
,"49.28255304468941, -123.05981128596437",Very Good
,"49.28256196202165, -123.06161490904967",Very Poor
GOOD,"49.28256201835346, -123.06168317318696",
,"49.28256242336561, -123.06175241480662",Good
GOOD,"49.28256450034774, -123.06360629265696",
,"49.28256568533028, -123.063545037705",Very Good
,"49.28256623146313, -123.06368253611502",Very Good
,"49.28256822350155, -123.11018898101499",Good
,"49.28257252170526, -123.13517933214693",Very Good
VERY POOR,"49.28257689849224, -123.0655459507652",
,"49.28257728077475, -123.06547748206478",Very Good
,"49.2825774548304, -123.12588805925628",Very Good
,"49.28257857014526, -123.06561497411",Poor
,"49.28258364890877, -123.13664248826969",Good
,"49.28258438098893, -123.09135328830605",Very Good
VERY GOOD,"49.282586016084856, -123.09142168138128",
,"49.282586872017596, -123.09149073987952",Good
,"49.282597816272, -123.11999988111376",Good
,"49.28260427596279, -123.13785322492863",Very Good
,"49.282607805444954, -123.10979358183064",Very Good
,"49.2826103422272, -123.06817016854424",Very Good
,"49.28261205108103, -123.0683076377696",Poor
FAIR,"49.282612916119746, -123.06823858117392",
VERY GOOD,"49.28261387412738, -123.07917332641344",
,"49.28261935327404, -123.0933047361776",Very Good
,"49.28262180945426, -123.09344218694385",Very Good
VERY POOR,"49.2826231088624, -123.09337332704347",
,"49.28263361623198, -123.13907143685748",Good
,"49.28263607118876, -123.13527664898704",Good
,"49.28263656575973, -123.11498360919097",Good
,"49.2826370297607, -123.07028963462194",Very Good
VERY POOR,"49.28263714442969, -123.07035809512031",
,"49.282638758623094, -123.07042710087742",Very Good
GOOD,"49.28264550312807, -123.13789020369343",
,"49.282654155772875, -123.09525258888465",Very Poor
,"49.282656730380836, -123.0953900327325",Good
VERY POOR,"49.282657157939376, -123.0953207130843",
,"49.28265828271908, -123.1055582158093",Very Good
,"49.28266333848814, -123.07252301974958",Very Good
,"49.28266396231535, -123.14009459538843",Very Good
GOOD,"49.282665180408486, -123.07259140132595",
,"49.282667527279145, -123.13795099616735",Good
NO DATA,"49.2826687077794, -123.07706356661615",
GOOD,"49.282669141811105, -123.11493557724121",
,"49.282671050956324, -123.07699508498796",Very Good
GOOD,"49.28267607844676, -123.13903662829648",
,"49.28269352535093, -123.14131301625494",Very Good
GOOD,"49.282695904553655, -123.14014232506169",
,"49.28269760725069, -123.13897480355764",Very Good
,"49.28270032251401, -123.09760235546473",Very Good
VERY POOR,"49.282700484044625, -123.0976710270568",
,"49.28270050983697, -123.1148869032903",Fair
,"49.28270299864466, -123.09774081613705",Very Good
VERY POOR,"49.28270316532295, -123.1055474175651",
VERY GOOD,"49.28272337124592, -123.14126066556067",
,"49.282727223934394, -123.14019234425797",Very Good
,"49.28273132016186, -123.0741403377466",Very Good
POOR,"49.282735049140925, -123.09958689033695",
,"49.282735884049984, -123.09951845491307",Good
,"49.28273650831228, -123.12355814819267",Good
,"49.28273842816926, -123.09965589753625",Good
FAIR,"49.28273852427419, -123.0740732053339",
,"49.28273878577245, -123.0740057739063",Very Good
,"49.28274788929357, -123.10553747264258",Good
,"49.282757554395985, -123.14121644012316",Very Good
FAIR,"49.28276967862874, -123.12360413065282",
,"49.282783407856954, -123.11865738499499",Very Good
,"49.282784409373896, -123.10212767041439",Very Good
,"49.282786968483826, -123.10226511501419",Very Good
VERY GOOD,"49.282789033510625, -123.12494450257093",
,"49.28279981101254, -123.12365583492115",Good
FAIR,"49.28280017576199, -123.08708609203715",
,"49.28280702771587, -123.1317161025712",Very Good
,"49.282813072222154, -123.12742784909626",Very Good
NO DATA,"49.28281462975733, -123.1161609053118",
,"49.28282496473717, -123.12491101766521",Very Good
,"49.28284020263926, -123.11361893200048",Very Good
POOR,"49.28284612665894, -123.12747398403812",
FAIR,"49.28284742897317, -123.13175412436533",
,"49.28284751205334, -123.1185609177727",Very Good
,"49.282867240499144, -123.08569999648842",Very Good
,"49.28287027989858, -123.13181386257419",Very Good
POOR,"49.282872214387055, -123.11366676821429",
,"49.28287636259077, -123.12752555462218",Very Good
,"49.28289804854812, -123.07954379790903",Very Good
,"49.282903434674296, -123.11371672815083",Very Good
,"49.282910031458826, -123.02462076686146",Fair
,"49.282911573950706, -123.02700700844956",Fair
,"49.28291412376878, -123.02963250741006",Good
,"49.282924821083306, -123.04538771637334",Very Poor
,"49.2829276875367, -123.04801483993309",Good
,"49.282931333460695, -123.05064202638054",Very Good
,"49.28293231173756, -123.0854634434004",Very Good
,"49.282933012473784, -123.12234873961539",Good
FAIR,"49.28293382780566, -123.08616514119944",
,"49.28293435308646, -123.05326892382843",Fair
,"49.28293487720363, -123.08826771868708",Fair
,"49.282937422817994, -123.05556264562094",Good
,"49.2829407469352, -123.1042167719391",Very Good
,"49.28294561140083, -123.05720397652932",Very Poor
,"49.282949640523356, -123.05873160001954",Fair
VERY GOOD,"49.28295520613689, -123.02462447847785",
GOOD,"49.28295603931504, -123.10425298756238",
VERY GOOD,"49.28295674803461, -123.02700322437215",
VERY GOOD,"49.28295924759461, -123.02959509252487",
,"49.2829646913237, -123.13313392351617",Good
,"49.28296482736329, -123.0607019173373",Very Poor
VERY GOOD,"49.282966027632845, -123.12230136321382",
,"49.28296745438548, -123.12515427687886",Very Good
GOOD,"49.28296995877984, -123.04539242592213",
VERY GOOD,"49.28297280898142, -123.04801179275024",
,"49.282974272498485, -123.06263974396539",Very Poor
,"49.282974774979586, -123.09042849269099",Good
GOOD,"49.2829764463545, -123.05063803557876",
,"49.28297931539717, -123.0645742590008",Very Good
FAIR,"49.28297945614562, -123.05326428779132",
VERY POOR,"49.28297996445032, -123.08826767340712",
FAIR,"49.28298252135699, -123.05556053210849",
,"49.28298280499348, -123.10927579596951",Very Good
,"49.28298797901273, -123.07954892698432",Very Good
VERY GOOD,"49.28299038444928, -123.05716915762711",
VERY GOOD,"49.28299490424259, -123.05876403505894",
,"49.282996977046345, -123.12225206859537",Very Good
,"49.28299997889236, -123.02461982164226",Fair
,"49.283000176761945, -123.10435183219734",Very Good
,"49.28300152573526, -123.0270067963232",Fair
,"49.28300153428795, -123.0668843619665",Very Good
,"49.28300407555132, -123.02963232755934",Fair
GOOD,"49.28300747886144, -123.13310000408097",
,"49.28300940718841, -123.0923833540595",Fair
POOR,"49.28300992899363, -123.06070264014278",
VERY GOOD,"49.28301365248782, -123.10933355362789",
,"49.28301477287415, -123.04538756828059",Poor
,"49.28301763934159, -123.0480146797685",Fair
FAIR,"49.28301875906373, -123.0626087587661",
POOR,"49.28301981005416, -123.0904255672657",
,"49.28302128523733, -123.05064193974465",Fair
,"49.28302430482859, -123.05326891759574",Fair
,"49.283024791482184, -123.08826378166818",Good
GOOD,"49.28302528815765, -123.06459589043745",
,"49.28302737469373, -123.05556236856019",Good
,"49.28302747055594, -123.11721780981128",Very Good
,"49.28302863697366, -123.133037219893",Good
,"49.28303072976949, -123.06928964038553",Fair
NO DATA,"49.283034486071436, -123.11630243314866",
,"49.28303560775556, -123.05716905530342",Fair
,"49.28303976477187, -123.05876437709296",Very Poor
,"49.28304286073867, -123.09433125154929",Poor
,"49.283042979427506, -123.11244846959039",Good
VERY GOOD,"49.283046618101594, -123.06688655062965",
,"49.28305136139894, -123.10938941565063",Very Good
FAIR,"49.2830517975028, -123.10218384588337",
POOR,"49.283054508653834, -123.09238422141625",
,"49.28305477120255, -123.06069984148618",Poor
,"49.28305751464133, -123.07146444376983",Very Good
NO DATA,"49.28305883764693, -123.11726657902967",
,"49.283063302065386, -123.1104970429407",Poor
